key_resp_13.keys,key_resp_13.rt,key_resp.keys,key_resp.rt,key_resp_10.keys,key_resp_10.rt,slider_2.response,slider_2.rt,NVScal.thisRepN,NVScal.thisTrialN,NVScal.thisN,NVScal.thisIndex,NVScal.ran,msg,Echelle,Prolific ID*,Age*,First Name*,Gender (Male/Female/Other)*,date,expName,psychopyVersion,OS,frameRate,participant,id,session,researcher,key_resp_11.keys,key_resp_11.rt,slider_3.response,slider_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,category,EMOTION,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,entrainement,repcorr,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,cible,type,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt
space,17.537135,space,5.57972,space,4.45894,2.983539095,6.1859,0,0,0,3,1,High-Status,NGS,5f5f98acf260d600099ce26f,24,,Male,2020-10-22_10h59.58.966,Personality Lexical Decision,2020.2.3,Win32,60,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,8.653435,0,1,1,13,1,Resentful,NVS,5f5f98acf260d600099ce26f,24,,Male,2020-10-22_10h59.58.966,Personality Lexical Decision,2020.2.3,Win32,60,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4.983539095,4.734035,0,2,2,11,1,Underappreciated,NVS,5f5f98acf260d600099ce26f,24,,Male,2020-10-22_10h59.58.966,Personality Lexical Decision,2020.2.3,Win32,60,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3.991769547,3.00437,0,3,3,8,1,Ignored,NVS,5f5f98acf260d600099ce26f,24,,Male,2020-10-22_10h59.58.966,Personality Lexical Decision,2020.2.3,Win32,60,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.004115226,3.339805,0,4,4,0,1,Authoritative,NGS,5f5f98acf260d600099ce26f,24,,Male,2020-10-22_10h59.58.966,Personality Lexical Decision,2020.2.3,Win32,60,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.50617284,3.899075,0,5,5,6,1,Superior,NGS,5f5f98acf260d600099ce26f,24,,Male,2020-10-22_10h59.58.966,Personality Lexical Decision,2020.2.3,Win32,60,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.016460905,3.293135,0,6,6,4,1,Powerful,NGS,5f5f98acf260d600099ce26f,24,,Male,2020-10-22_10h59.58.966,Personality Lexical Decision,2020.2.3,Win32,60,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,2.67548,0,7,7,12,1,Envious,NVS,5f5f98acf260d600099ce26f,24,,Male,2020-10-22_10h59.58.966,Personality Lexical Decision,2020.2.3,Win32,60,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3.987654321,2.049275,0,8,8,16,1,Misunderstood,NVS,5f5f98acf260d600099ce26f,24,,Male,2020-10-22_10h59.58.966,Personality Lexical Decision,2020.2.3,Win32,60,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.995884774,2.79874,0,9,9,9,1,Self-absorbed,NVS,5f5f98acf260d600099ce26f,24,,Male,2020-10-22_10h59.58.966,Personality Lexical Decision,2020.2.3,Win32,60,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.152263374,2.397115,0,10,10,1,1,Dominant,NGS,5f5f98acf260d600099ce26f,24,,Male,2020-10-22_10h59.58.966,Personality Lexical Decision,2020.2.3,Win32,60,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3.004115226,2.885235,0,11,11,10,1,Fragile,NVS,5f5f98acf260d600099ce26f,24,,Male,2020-10-22_10h59.58.966,Personality Lexical Decision,2020.2.3,Win32,60,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.991769547,2.234255,0,12,12,5,1,Prominent,NGS,5f5f98acf260d600099ce26f,24,,Male,2020-10-22_10h59.58.966,Personality Lexical Decision,2020.2.3,Win32,60,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.020576132,3.24342,0,13,13,2,1,Envied,NGS,5f5f98acf260d600099ce26f,24,,Male,2020-10-22_10h59.58.966,Personality Lexical Decision,2020.2.3,Win32,60,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.995884774,2.07281,0,14,14,7,1,Ashamed,NVS,5f5f98acf260d600099ce26f,24,,Male,2020-10-22_10h59.58.966,Personality Lexical Decision,2020.2.3,Win32,60,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.559670782,2.44631,0,15,15,15,1,Irritable,NVS,5f5f98acf260d600099ce26f,24,,Male,2020-10-22_10h59.58.966,Personality Lexical Decision,2020.2.3,Win32,60,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.448559671,2.378705,0,16,16,17,1,Vengeful,NVS,5f5f98acf260d600099ce26f,24,,Male,2020-10-22_10h59.58.966,Personality Lexical Decision,2020.2.3,Win32,60,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,2.668685,0,17,17,14,1,Insecure,NVS,5f5f98acf260d600099ce26f,24,,Male,2020-10-22_10h59.58.966,Personality Lexical Decision,2020.2.3,Win32,60,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"When I feel inadequate in some way, I try to remind myself that feelings of inadequacy are shared by most people.",,5f5f98acf260d600099ce26f,24,,Male,2020-10-22_10h59.58.966,Personality Lexical Decision,2020.2.3,Win32,60,303,,,,space,8.920595,4.995884774,4.62234,0,0,0,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,When something upsets me I try to keep my emotions in balance.,,5f5f98acf260d600099ce26f,24,,Male,2020-10-22_10h59.58.966,Personality Lexical Decision,2020.2.3,Win32,60,303,,,,,,4.004115226,4.43093,0,1,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,When something painful happens I try to take a balanced view of the situation,,5f5f98acf260d600099ce26f,24,,Male,2020-10-22_10h59.58.966,Personality Lexical Decision,2020.2.3,Win32,60,303,,,,,,3.995884774,4.788755,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,I try to be understanding and patient towards those aspects of my personality I don’t like.,,5f5f98acf260d600099ce26f,24,,Male,2020-10-22_10h59.58.966,Personality Lexical Decision,2020.2.3,Win32,60,303,,,,,,4.419753086,4.70624,0,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,I try to see my failings as part of the human condition.,,5f5f98acf260d600099ce26f,24,,Male,2020-10-22_10h59.58.966,Personality Lexical Decision,2020.2.3,Win32,60,303,,,,,,3.267489712,4.50065,0,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,When I’m feeling down I tend to obsess and fixate on everything that’s wrong.,,5f5f98acf260d600099ce26f,24,,Male,2020-10-22_10h59.58.966,Personality Lexical Decision,2020.2.3,Win32,60,303,,,,,,4.995884774,4.311235,0,5,5,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"When I fail at something that’s important to me, I tend to feel alone in my failure.",,5f5f98acf260d600099ce26f,24,,Male,2020-10-22_10h59.58.966,Personality Lexical Decision,2020.2.3,Win32,60,303,,,,,,4,4.635655,0,6,6,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
